date,department,meeting_transcript,employee_feedback,attrition_rate,engagement_score,project_delay_index
2025-07-01,Engineering,"Discussed backend migration plan and deadlines.","Happy with team collaboration.",0.12,0.85,0.05
2025-07-01,Marketing,"Planned Q3 campaigns and budgets.","Marketing team morale is high.",0.10,0.80,0.10
2025-07-01,HR,"Reviewed recruitment strategies and diverse goals.","Satisfied with current recruitment process.",0.07,0.91,0.02
2025-07-01,Sales,"Reviewed quarterly sales performance.","Sales team feeling pressured due to targets.",0.16,0.65,0.22
2025-07-01,Finance,"Finalized annual audit reports.","Auditing workload has been manageable.",0.06,0.88,0.05
2025-07-01,Customer Success,"Implemented new CRM tool workflows.","New tools require some training.",0.11,0.78,0.10
2025-08-01,Engineering,"Reviewed server performance issues and fixes.","Workload has increased lately.",0.14,0.70,0.20
2025-08-01,Marketing,"Analyzed campaign performance metrics.","Some team members feel overwhelmed.",0.12,0.75,0.12
2025-08-01,HR,"Discussed employee wellness programs.","Positive feedback on wellness initiatives.",0.08,0.92,0.01
2025-08-01,Sales,"Sales strategies and pipeline review.","Pressure from sales targets is tough.",0.18,0.60,0.30
2025-08-01,Finance,"Reviewed quarterly budget allocations.","Satisfied with current financial workflows.",0.05,0.89,0.04
2025-08-01,Customer Success,"Addressed high customer ticket volume.","Stressed due to queue spikes.",0.15,0.67,0.22
2025-09-01,Engineering,"Finalized cloud infrastructure upgrade.","Team is excited about new tech.",0.11,0.88,0.07
2025-09-01,Marketing,"Brainstormed ideas for brand refresh.","Creative energy is high among team.",0.10,0.82,0.08
2025-09-01,HR,"Set plans for upcoming performance reviews.","Employees appreciate transparent feedback.",0.06,0.94,0.00
2025-09-01,Sales,"Reviewed customer acquisition strategies.","Team is optimistic about new leads.",0.15,0.69,0.18
2025-09-01,Finance,"Approved department operational expenses.","Financial operations are smooth.",0.06,0.90,0.03
2025-09-01,Customer Success,"Conducted client feedback surveys.","Clients are reporting positive experiences.",0.09,0.84,0.07
